fid,object_id,park_name,zone_type,area_m2,is_fenced,has_water,quality_score,longitude,latitude,geometry_wkt,web_link
HUNDEZONEOGD.2098042,2098042,Reithofferpark,Hundeverbot,9761.0,False,False,2,16.331035740516,48.19829498032849,POINT (16.331035740516 48.19829498032849),
HUNDEZONEOGD.2098057,2098057,PA Alma-Seidler-Weg,Hundeverbot,9604.0,,False,2,16.312835594871245,48.148296269977806,POINT (16.312835594871245 48.148296269977806),
HUNDEZONEOGD.2098000,2098000,Forsthauspark,Hundeverbot,8558.0,,False,2,16.374451552964576,48.244128321714854,POINT (16.374451552964576 48.244128321714854),
HUNDEZONEOGD.2097834,2097834,Erholungsgebiet Wienerberg Ost (MA49),Hundeauslaufplatz,8513.0,True,False,3,16.355505861900543,48.16270354511663,POINT (16.355505861900543 48.16270354511663),http://www.wien.gv.at/umwelt/parks/hundezonen.html
HUNDEZONEOGD.2098033,2098033,Schönbornpark,Hundeverbot,8512.0,True,False,3,16.350564794447685,48.212403105882366,POINT (16.350564794447685 48.212403105882366),
HUNDEZONEOGD.2097898,2097898,PA Roter Berg,Hundeauslaufplatz,8451.0,True,False,3,16.27449610998072,48.18177102367778,POINT (16.27449610998072 48.18177102367778),http://www.wien.gv.at/umwelt/parks/hundezonen.html
HUNDEZONEOGD.2097841,2097841,PA Lichtensterngasse,Hundeauslaufplatz,8448.0,,False,2,16.32753614593489,48.1569132857409,POINT (16.32753614593489 48.1569132857409),http://www.wien.gv.at/umwelt/parks/hundezonen.html
HUNDEZONEOGD.2097965,2097965,PA Mühlschüttelgasse (MA 45),Hundeverbot,8172.0,False,False,2,16.412050556048225,48.248565494966485,POINT (16.412050556048225 48.248565494966485),
HUNDEZONEOGD.2098104,2098104,Alfred-Grünwald-Park,Hundeverbot,8110.0,,False,2,16.36131563171881,48.19887861477475,POINT (16.36131563171881 48.19887861477475),
HUNDEZONEOGD.2098099,2098099,Claudia-Heill-Park,Hundeverbot,7928.0,,False,2,16.43697611227314,48.249366467257694,POINT (16.43697611227314 48.249366467257694),
HUNDEZONEOGD.2098085,2098085,Josef-Strauß-Park,Hundeverbot,7893.0,True,False,3,16.340611347249286,48.20759404807972,POINT (16.340611347249286 48.20759404807972),
HUNDEZONEOGD.2098094,2098094,Hannah-Arendt-Park,Hundeverbot,7788.0,False,False,2,16.50146483553986,48.223576729227965,POINT (16.50146483553986 48.223576729227965),
HUNDEZONEOGD.2098060,2098060,Hundezone,Hundeverbot,7703.0,,False,2,16.42174789884557,48.22274812495246,POINT (16.42174789884557 48.22274812495246),
HUNDEZONEOGD.2098090,2098090,Hundezone,Hundeverbot,7589.0,False,False,2,16.486561432876,48.24264287876564,POINT (16.486561432876 48.24264287876564),
HUNDEZONEOGD.2098138,2098138,Hörndlwald (MA 49),Hundeverbot,7248.0,,False,2,16.27004815994975,48.17292065240743,POINT (16.27004815994975 48.17292065240743),
HUNDEZONEOGD.2098130,2098130,Kardinal-Nagl-Park,Hundeverbot,7141.0,,False,2,16.40144088432661,48.19731601134671,POINT (16.40144088432661 48.19731601134671),
HUNDEZONEOGD.2098047,2098047,Sigmund-Freud-Park,Hundeverbot,7135.0,False,False,2,16.36028871595236,48.21480850519219,POINT (16.36028871595236 48.21480850519219),
HUNDEZONEOGD.2098030,2098030,Strombucht (MA 45),Hundeverbot,6956.0,False,False,2,16.4308541397234,48.22036334672738,POINT (16.4308541397234 48.22036334672738),
HUNDEZONEOGD.2098027,2098027,PA Lorenz-Reiter-Straße,Hundeverbot,6853.0,,False,2,16.41784752921857,48.18091098891449,POINT (16.41784752921857 48.18091098891449),
HUNDEZONEOGD.2098011,2098011,Lorenz-Bayer-Park,Hundeverbot,6810.0,True,False,3,16.325952488920933,48.214894587318646,POINT (16.325952488920933 48.214894587318646),
HUNDEZONEOGD.2097933,2097933,Draschepark,Hundeauslaufplatz,6731.0,True,False,3,16.342067681396905,48.152723446013546,POINT (16.342067681396905 48.152723446013546),http://www.wien.gv.at/umwelt/parks/hundezonen.html
HUNDEZONEOGD.2098106,2098106,Wertheimsteinpark,Hundeverbot,6711.0,True,False,3,16.359786428450565,48.24207267012639,POINT (16.359786428450565 48.24207267012639),
HUNDEZONEOGD.2097849,2097849,PA Gaulgasse,Hundezone,6485.0,True,False,3,16.2911275741489,48.13837373222475,POINT (16.2911275741489 48.13837373222475),http://www.wien.gv.at/umwelt/parks/hundezonen.html
HUNDEZONEOGD.2098149,2098149,Einsiedlerpark,Hundeverbot,6141.0,,False,2,16.34999855783035,48.18592656271798,POINT (16.34999855783035 48.18592656271798),
HUNDEZONEOGD.2098116,2098116,PA Csokorgasse,Hundeverbot,6134.0,,False,2,16.466064444154366,48.15171833871628,POINT (16.466064444154366 48.15171833871628),
HUNDEZONEOGD.2097932,2097932,Draschepark,Hundeauslaufplatz,6092.0,True,False,3,16.345410352830104,48.152114989478406,POINT (16.345410352830104 48.152114989478406),http://www.wien.gv.at/umwelt/parks/hundezonen.html
HUNDEZONEOGD.2097821,2097821,Napoleonwald,Hundeauslaufplatz,6036.0,False,False,2,16.268772025283955,48.160380670797,POINT (16.268772025283955 48.160380670797),http://www.wien.gv.at/umwelt/parks/hundezonen.html
HUNDEZONEOGD.2097805,2097805,Hugo-Wolf-Park,Hundeauslaufplatz,5952.0,False,False,2,16.33331785800342,48.23982017968653,POINT (16.33331785800342 48.23982017968653),http://www.wien.gv.at/umwelt/parks/hundezonen.html
HUNDEZONEOGD.2097896,2097896,Anton-Krieger-Gasse (MA49),Hundeauslaufplatz,5713.0,False,False,2,16.252502250943085,48.1458973693236,POINT (16.252502250943085 48.1458973693236),http://www.wien.gv.at/umwelt/parks/hundezonen.html
HUNDEZONEOGD.2098089,2098089,PA Asperner Wies'n,Hundeverbot,5692.0,,False,2,16.476930613320384,48.21406673598998,POINT (16.476930613320384 48.21406673598998),
HUNDEZONEOGD.2098073,2098073,Martin-Luther-King-Park,Hundeverbot,5590.0,,False,2,16.354396312914645,48.1755940090989,POINT (16.354396312914645 48.1755940090989),
HUNDEZONEOGD.2098107,2098107,Saarpark,Hundeverbot,5520.0,False,False,2,16.3492647009669,48.24542389157354,POINT (16.3492647009669 48.24542389157354),
HUNDEZONEOGD.2097955,2097955,PA Lüssenpromenade,Hundeverbot,5512.0,False,False,2,16.414634316428565,48.29150781884634,POINT (16.414634316428565 48.29150781884634),
HUNDEZONEOGD.2097806,2097806,Matzner-Park,Hundezone,5486.0,True,True,4,16.301977376255543,48.196196547879964,POINT (16.301977376255543 48.196196547879964),http://www.wien.gv.at/umwelt/parks/hundezonen.html
HUNDEZONEOGD.2098156,2098156,Karl-Seidl-Park,Hundeverbot,5472.0,False,False,2,16.443605145609837,48.26332388060052,POINT (16.443605145609837 48.26332388060052),
