FID,OBJECTID,SHAPE,PARK,FLAECHE,TYP,TELEFON,EINFRIEDUNG,WEBLINK1,HUNDETRAENKE,SE_ANNO_CAD_DATA
HUNDEZONEOGD.2097828,2097828,POINT (16.39420270802818 48.219376471704535),Venediger-Au-Park,ca. 1809 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097829,2097829,POINT (16.361008969752817 48.243393285125876),Wertheimsteinpark,ca. 1463 m²,Hundezone,01 4000 8042,nein,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097830,2097830,POINT (16.361633646433216 48.20619125744202),Heldenplatz (Bundesgärten),ca. 904 m²,Hundezone,,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097831,2097831,POINT (16.3950003550414 48.21509982803364),Prater - Laufbergerwiese,ca. 1010 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097832,2097832,POINT (16.33822047214054 48.16781699799949),Erholungsgebiet Wienerberg West (MA49),ca. 1788 m²,Hundeauslaufplatz,01 4000 49000,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097833,2097833,POINT (16.307742302846187 48.122388437436655),Kellerberg (MA49),ca. 3057 m²,Hundeauslaufplatz,01 4000 49000,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097834,2097834,POINT (16.355505861900543 48.16270354511663),Erholungsgebiet Wienerberg Ost (MA49),ca. 8513 m²,Hundeauslaufplatz,01 4000 49000,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097835,2097835,POINT (16.492243812789095 48.248689586995965),An der Neurisse,ca. 956 m²,Hundezone,,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097836,2097836,POINT (16.514339134377177 48.20154654018843),Reinholdgasse (MA49),ca. 3346 m²,Hundeauslaufplatz,01 4000 49000,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097837,2097837,POINT (16.437402592716527 48.255011031958),Thonetgasse (MA49),ca. 1804 m²,Hundeauslaufplatz,01 4000 49000,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
